Student Name,Course 1,Course 2,Course 3,Course 4,Course 5
Miranda,CSE 42,CSE 33,CSE 29,CSE 27,CSE 39
Nicholas,CSE 14,CSE 50,CSE 1,CSE 18,CSE 12
Aida,CSE 17,CSE 4,CSE 40,CSE 16,CSE 11
Madaline,CSE 11,CSE 32,CSE 34,CSE 7,CSE 25
James,CSE 8,CSE 12,CSE 14,CSE 30,CSE 34
Agata,CSE 46,CSE 9,CSE 38,CSE 2,CSE 12
Dainton,CSE 17,CSE 36,CSE 20,CSE 22,CSE 37
Mike,CSE 40,CSE 35,CSE 16,CSE 7,CSE 5
Owen,CSE 27,CSE 13,CSE 39,CSE 26,CSE 28
George,CSE 46,CSE 12,CSE 38,CSE 14,CSE 4
Carlos,CSE 45,CSE 26,CSE 33,CSE 46,CSE 3
Freddie,CSE 33,CSE 24,CSE 36,CSE 28,CSE 15
Adrianna,CSE 45,CSE 41,CSE 32,CSE 20,CSE 45
Walter,CSE 27,CSE 20,CSE 8,CSE 40,CSE 47
Kellan,CSE 17,CSE 44,CSE 23,CSE 38,CSE 29
Sarah,CSE 26,CSE 45,CSE 21,CSE 35,CSE 40
Elian,CSE 30,CSE 5,CSE 12,CSE 38,CSE 38
Dominik,CSE 8,CSE 4,CSE 36,CSE 31,CSE 19
Heather,CSE 17,CSE 7,CSE 3,CSE 8,CSE 30
Ashton,CSE 6,CSE 20,CSE 36,CSE 18,CSE 23
Lenny,CSE 2,CSE 16,CSE 48,CSE 21,CSE 36
Agata,CSE 16,CSE 43,CSE 33,CSE 47,CSE 36
Emily,CSE 10,CSE 13,CSE 42,CSE 37,CSE 13
April,CSE 41,CSE 38,CSE 25,CSE 32,CSE 23
Kellan,CSE 39,CSE 27,CSE 24,CSE 45,CSE 37
Ashton,CSE 32,CSE 17,CSE 22,CSE 40,CSE 4
Clark,CSE 17,CSE 50,CSE 35,CSE 10,CSE 47
Derek,CSE 16,CSE 9,CSE 24,CSE 32,CSE 45
Adrian,CSE 13,CSE 24,CSE 45,CSE 21,CSE 25
Brooke,CSE 12,CSE 29,CSE 33,CSE 12,CSE 49
Daisy,CSE 47,CSE 46,CSE 25,CSE 20,CSE 36
Alford,CSE 37,CSE 9,CSE 17,CSE 13,CSE 35
Aldus,CSE 15,CSE 4,CSE 5,CSE 39,CSE 28
Evelyn,CSE 19,CSE 24,CSE 43,CSE 8,CSE 22
Alberta,CSE 42,CSE 2,CSE 1,CSE 21,CSE 48
Carl,CSE 24,CSE 20,CSE 29,CSE 19,CSE 47
John,CSE 41,CSE 50,CSE 3,CSE 11,CSE 46
Alexia,CSE 21,CSE 30,CSE 28,CSE 41,CSE 13
Steven,CSE 42,CSE 2,CSE 24,CSE 11,CSE 40
Charlie,CSE 7,CSE 32,CSE 20,CSE 9,CSE 35
Adrian,CSE 1,CSE 28,CSE 10,CSE 24,CSE 33
Thomas,CSE 6,CSE 20,CSE 32,CSE 29,CSE 6
Clark,CSE 1,CSE 41,CSE 12,CSE 36,CSE 23
Chloe,CSE 8,CSE 30,CSE 17,CSE 5,CSE 19
Rosie,CSE 30,CSE 28,CSE 15,CSE 13,CSE 45
Emma,CSE 27,CSE 31,CSE 40,CSE 21,CSE 42
Kevin,CSE 41,CSE 1,CSE 8,CSE 25,CSE 4
Darcy,CSE 7,CSE 39,CSE 34,CSE 33,CSE 5
Sienna,CSE 47,CSE 28,CSE 4,CSE 4,CSE 10
Edward,CSE 29,CSE 7,CSE 19,CSE 44,CSE 46
Honey,CSE 48,CSE 7,CSE 46,CSE 24,CSE 18
Sienna,CSE 16,CSE 30,CSE 26,CSE 1,CSE 10
Jacob,CSE 12,CSE 15,CSE 9,CSE 14,CSE 48
Brooke,CSE 11,CSE 12,CSE 36,CSE 36,CSE 17
Penelope,CSE 14,CSE 2,CSE 27,CSE 29,CSE 17
Ellia,CSE 19,CSE 42,CSE 5,CSE 38,CSE 7
Alford,CSE 5,CSE 34,CSE 42,CSE 10,CSE 2
Albert,CSE 49,CSE 18,CSE 10,CSE 22,CSE 39
Naomi,CSE 5,CSE 28,CSE 25,CSE 17,CSE 34
Tess,CSE 21,CSE 8,CSE 8,CSE 13,CSE 27
Rubie,CSE 26,CSE 6,CSE 44,CSE 27,CSE 29
Elise,CSE 23,CSE 18,CSE 25,CSE 12,CSE 13
Tara,CSE 25,CSE 33,CSE 50,CSE 14,CSE 18
Adrianna,CSE 26,CSE 7,CSE 44,CSE 36,CSE 7
Miranda,CSE 45,CSE 35,CSE 41,CSE 3,CSE 44
Emma,CSE 11,CSE 5,CSE 2,CSE 4,CSE 6
Paul,CSE 47,CSE 47,CSE 14,CSE 24,CSE 45
Rubie,CSE 11,CSE 29,CSE 40,CSE 46,CSE 20
Abraham,CSE 35,CSE 29,CSE 6,CSE 43,CSE 9
Jordan,CSE 38,CSE 41,CSE 47,CSE 38,CSE 48
Penelope,CSE 35,CSE 13,CSE 41,CSE 31,CSE 20
Edgar,CSE 25,CSE 26,CSE 28,CSE 49,CSE 14
Amanda,CSE 28,CSE 9,CSE 33,CSE 35,CSE 19
Ashton,CSE 41,CSE 13,CSE 12,CSE 16,CSE 39
Adele,CSE 13,CSE 11,CSE 7,CSE 27,CSE 8
Jacob,CSE 40,CSE 15,CSE 10,CSE 34,CSE 24
Rosie,CSE 15,CSE 8,CSE 3,CSE 3,CSE 30
Cherry,CSE 19,CSE 18,CSE 20,CSE 18,CSE 41
Annabella,CSE 16,CSE 46,CSE 19,CSE 34,CSE 23
William,CSE 43,CSE 1,CSE 17,CSE 44,CSE 28
Natalie,CSE 47,CSE 8,CSE 44,CSE 7,CSE 22
Alen,CSE 14,CSE 25,CSE 43,CSE 22,CSE 48
Dominik,CSE 27,CSE 49,CSE 9,CSE 10,CSE 37
Fiona,CSE 13,CSE 2,CSE 22,CSE 37,CSE 45
Luke,CSE 29,CSE 18,CSE 23,CSE 22,CSE 12
Blake,CSE 26,CSE 42,CSE 5,CSE 10,CSE 10
Victoria,CSE 27,CSE 49,CSE 8,CSE 19,CSE 12
Fiona,CSE 30,CSE 1,CSE 15,CSE 32,CSE 3
Charlotte,CSE 32,CSE 25,CSE 29,CSE 20,CSE 39
Jared,CSE 12,CSE 34,CSE 46,CSE 23,CSE 22
Antony,CSE 3,CSE 26,CSE 22,CSE 15,CSE 7
Sophia,CSE 44,CSE 42,CSE 3,CSE 32,CSE 32
Ryan,CSE 42,CSE 14,CSE 41,CSE 45,CSE 47
Eleanor,CSE 39,CSE 46,CSE 11,CSE 41,CSE 23
Michelle,CSE 28,CSE 45,CSE 36,CSE 47,CSE 8
Violet,CSE 41,CSE 10,CSE 33,CSE 18,CSE 20
Victor,CSE 49,CSE 34,CSE 24,CSE 15,CSE 43
Charlotte,CSE 6,CSE 47,CSE 39,CSE 24,CSE 31
Max,CSE 33,CSE 19,CSE 32,CSE 4,CSE 29
Julia,CSE 42,CSE 19,CSE 35,CSE 50,CSE 6
Fenton,CSE 12,CSE 9,CSE 16,CSE 17,CSE 7
Lyndon,CSE 7,CSE 50,CSE 4,CSE 49,CSE 50
Deanna,CSE 34,CSE 32,CSE 4,CSE 2,CSE 16
Roman,CSE 2,CSE 19,CSE 43,CSE 45,CSE 12
Tony,CSE 17,CSE 48,CSE 21,CSE 8,CSE 32
Joyce,CSE 29,CSE 5,CSE 39,CSE 35,CSE 5
Caroline,CSE 43,CSE 10,CSE 47,CSE 26,CSE 8
Audrey,CSE 46,CSE 25,CSE 28,CSE 48,CSE 25
Martin,CSE 44,CSE 7,CSE 38,CSE 18,CSE 38
Amy,CSE 41,CSE 46,CSE 41,CSE 19,CSE 26
Walter,CSE 10,CSE 8,CSE 35,CSE 29,CSE 21
Emily,CSE 19,CSE 25,CSE 43,CSE 13,CSE 11
Alexander,CSE 24,CSE 43,CSE 8,CSE 10,CSE 39
John,CSE 29,CSE 4,CSE 20,CSE 3,CSE 24
Dominik,CSE 11,CSE 19,CSE 24,CSE 21,CSE 3
Agata,CSE 40,CSE 38,CSE 5,CSE 49,CSE 19
Arnold,CSE 5,CSE 6,CSE 24,CSE 25,CSE 25
Belinda,CSE 2,CSE 49,CSE 27,CSE 40,CSE 48
Kevin,CSE 50,CSE 4,CSE 50,CSE 19,CSE 39
Ned,CSE 30,CSE 30,CSE 21,CSE 29,CSE 24
Maximilian,CSE 8,CSE 46,CSE 47,CSE 48,CSE 45
Lydia,CSE 15,CSE 2,CSE 2,CSE 28,CSE 34
Deanna,CSE 24,CSE 18,CSE 38,CSE 18,CSE 42
Alissa,CSE 29,CSE 3,CSE 4,CSE 18,CSE 4
Elian,CSE 14,CSE 23,CSE 44,CSE 44,CSE 49
Alford,CSE 9,CSE 50,CSE 43,CSE 33,CSE 4
Carlos,CSE 30,CSE 3,CSE 38,CSE 26,CSE 21
Amber,CSE 24,CSE 11,CSE 40,CSE 4,CSE 21
Connie,CSE 21,CSE 9,CSE 14,CSE 8,CSE 29
Charlie,CSE 23,CSE 43,CSE 26,CSE 1,CSE 3
Oliver,CSE 11,CSE 21,CSE 34,CSE 15,CSE 14
Sofia,CSE 5,CSE 7,CSE 15,CSE 44,CSE 21
Rubie,CSE 36,CSE 7,CSE 10,CSE 46,CSE 13
Aldus,CSE 14,CSE 26,CSE 42,CSE 15,CSE 19
Lily,CSE 40,CSE 17,CSE 31,CSE 27,CSE 30
Kate,CSE 1,CSE 16,CSE 26,CSE 47,CSE 8
Abigail,CSE 20,CSE 4,CSE 31,CSE 47,CSE 49
Charlie,CSE 43,CSE 24,CSE 37,CSE 28,CSE 28
Alberta,CSE 3,CSE 32,CSE 35,CSE 6,CSE 28
Maximilian,CSE 23,CSE 18,CSE 26,CSE 13,CSE 22
Clark,CSE 2,CSE 11,CSE 23,CSE 5,CSE 24
Elian,CSE 14,CSE 34,CSE 21,CSE 38,CSE 49
Sawyer,CSE 16,CSE 48,CSE 10,CSE 47,CSE 44
Dale,CSE 22,CSE 40,CSE 1,CSE 43,CSE 27
Rafael,CSE 46,CSE 10,CSE 11,CSE 27,CSE 3
Belinda,CSE 12,CSE 6,CSE 7,CSE 13,CSE 26
Alexander,CSE 3,CSE 19,CSE 35,CSE 25,CSE 10
Aiden,CSE 22,CSE 38,CSE 21,CSE 49,CSE 32
Carina,CSE 16,CSE 40,CSE 46,CSE 29,CSE 23
Emma,CSE 46,CSE 17,CSE 39,CSE 4,CSE 5
Aiden,CSE 21,CSE 44,CSE 30,CSE 19,CSE 25
Natalie,CSE 16,CSE 49,CSE 41,CSE 14,CSE 41
Byron,CSE 25,CSE 47,CSE 33,CSE 20,CSE 23
Victor,CSE 6,CSE 35,CSE 14,CSE 46,CSE 18
Alina,CSE 6,CSE 9,CSE 29,CSE 32,CSE 40
Edward,CSE 17,CSE 8,CSE 11,CSE 20,CSE 50
George,CSE 7,CSE 47,CSE 16,CSE 26,CSE 31
Vincent,CSE 50,CSE 18,CSE 4,CSE 50,CSE 14
Bruce,CSE 28,CSE 10,CSE 14,CSE 10,CSE 38
Brooke,CSE 34,CSE 40,CSE 2,CSE 41,CSE 36
Chloe,CSE 12,CSE 26,CSE 33,CSE 14,CSE 40
James,CSE 32,CSE 8,CSE 34,CSE 4,CSE 23
Adelaide,CSE 47,CSE 38,CSE 43,CSE 3,CSE 8
Alfred,CSE 46,CSE 4,CSE 6,CSE 37,CSE 4
Tyler,CSE 22,CSE 48,CSE 12,CSE 48,CSE 10
Charlotte,CSE 8,CSE 41,CSE 39,CSE 8,CSE 28
Walter,CSE 35,CSE 2,CSE 12,CSE 41,CSE 35
Carina,CSE 17,CSE 6,CSE 39,CSE 33,CSE 4
Charlotte,CSE 40,CSE 19,CSE 47,CSE 18,CSE 45
Alissa,CSE 6,CSE 18,CSE 34,CSE 37,CSE 21
Sawyer,CSE 24,CSE 20,CSE 27,CSE 1,CSE 49
Eleanor,CSE 22,CSE 31,CSE 47,CSE 11,CSE 22
Lucia,CSE 38,CSE 22,CSE 38,CSE 38,CSE 41
Tara,CSE 50,CSE 42,CSE 10,CSE 30,CSE 30
Cadie,CSE 2,CSE 8,CSE 44,CSE 9,CSE 50
Tony,CSE 48,CSE 5,CSE 22,CSE 37,CSE 29
Michelle,CSE 37,CSE 9,CSE 13,CSE 36,CSE 41
Aldus,CSE 35,CSE 7,CSE 38,CSE 14,CSE 41
Michael,CSE 47,CSE 25,CSE 17,CSE 2,CSE 32
Freddie,CSE 36,CSE 18,CSE 39,CSE 10,CSE 14
Leonardo,CSE 26,CSE 30,CSE 15,CSE 40,CSE 15
Alina,CSE 8,CSE 39,CSE 44,CSE 34,CSE 42
Dexter,CSE 44,CSE 10,CSE 15,CSE 15,CSE 31
Alexander,CSE 16,CSE 5,CSE 12,CSE 20,CSE 28
Stella,CSE 41,CSE 32,CSE 46,CSE 32,CSE 49
Jasmine,CSE 21,CSE 12,CSE 29,CSE 14,CSE 46
Madaline,CSE 44,CSE 39,CSE 47,CSE 31,CSE 20
Thomas,CSE 37,CSE 47,CSE 20,CSE 32,CSE 48
Myra,CSE 28,CSE 11,CSE 17,CSE 15,CSE 49
Madaline,CSE 34,CSE 24,CSE 6,CSE 27,CSE 45
Carlos,CSE 2,CSE 15,CSE 1,CSE 3,CSE 19
Heather,CSE 33,CSE 38,CSE 12,CSE 29,CSE 46
Garry,CSE 11,CSE 7,CSE 41,CSE 50,CSE 40
Alisa,CSE 24,CSE 32,CSE 9,CSE 3,CSE 1
Dominik,CSE 12,CSE 2,CSE 22,CSE 14,CSE 25
Miley,CSE 46,CSE 33,CSE 44,CSE 8,CSE 7
Vivian,CSE 9,CSE 20,CSE 2,CSE 14,CSE 1
Robert,CSE 16,CSE 1,CSE 1,CSE 42,CSE 50
Lucas,CSE 39,CSE 9,CSE 30,CSE 46,CSE 34
Abraham,CSE 9,CSE 47,CSE 15,CSE 12,CSE 13
Kevin,CSE 45,CSE 37,CSE 8,CSE 38,CSE 36
Carina,CSE 6,CSE 45,CSE 26,CSE 23,CSE 23
Penelope,CSE 32,CSE 11,CSE 15,CSE 13,CSE 49
Alfred,CSE 38,CSE 47,CSE 8,CSE 23,CSE 47
Miller,CSE 47,CSE 16,CSE 14,CSE 3,CSE 13
Evelyn,CSE 5,CSE 13,CSE 2,CSE 15,CSE 27
Aston,CSE 3,CSE 1,CSE 21,CSE 27,CSE 10
Amy,CSE 23,CSE 3,CSE 21,CSE 48,CSE 13
Abigail,CSE 34,CSE 32,CSE 43,CSE 29,CSE 10
Thomas,CSE 7,CSE 41,CSE 30,CSE 26,CSE 47
Brooke,CSE 22,CSE 49,CSE 36,CSE 11,CSE 36
Adelaide,CSE 39,CSE 40,CSE 27,CSE 40,CSE 37
Haris,CSE 33,CSE 43,CSE 22,CSE 1,CSE 22
Sofia,CSE 32,CSE 29,CSE 2,CSE 49,CSE 35
Kate,CSE 3,CSE 20,CSE 16,CSE 42,CSE 36
Paige,CSE 23,CSE 37,CSE 43,CSE 32,CSE 42
Thomas,CSE 15,CSE 48,CSE 33,CSE 44,CSE 36
Henry,CSE 14,CSE 29,CSE 2,CSE 38,CSE 35
Michelle,CSE 43,CSE 37,CSE 32,CSE 4,CSE 29
Cherry,CSE 22,CSE 22,CSE 46,CSE 42,CSE 34
Alina,CSE 37,CSE 27,CSE 10,CSE 31,CSE 19
Edgar,CSE 11,CSE 37,CSE 7,CSE 45,CSE 1
Wilson,CSE 50,CSE 40,CSE 48,CSE 31,CSE 5
Julian,CSE 32,CSE 27,CSE 33,CSE 43,CSE 35
Emma,CSE 10,CSE 20,CSE 25,CSE 42,CSE 43
Frederick,CSE 14,CSE 22,CSE 12,CSE 14,CSE 34
Arthur,CSE 18,CSE 50,CSE 32,CSE 23,CSE 44
Stella,CSE 2,CSE 25,CSE 17,CSE 47,CSE 39
Walter,CSE 48,CSE 3,CSE 25,CSE 17,CSE 45
Aston,CSE 16,CSE 31,CSE 7,CSE 17,CSE 6
Adrianna,CSE 12,CSE 43,CSE 1,CSE 6,CSE 18
Lana,CSE 24,CSE 39,CSE 6,CSE 42,CSE 45
Charlie,CSE 32,CSE 5,CSE 47,CSE 2,CSE 7
Paige,CSE 9,CSE 20,CSE 7,CSE 46,CSE 24
Andrew,CSE 48,CSE 44,CSE 41,CSE 11,CSE 35
Lyndon,CSE 14,CSE 41,CSE 40,CSE 23,CSE 17
Olivia,CSE 42,CSE 12,CSE 5,CSE 2,CSE 38
Kellan,CSE 15,CSE 1,CSE 28,CSE 32,CSE 11
Ted,CSE 8,CSE 35,CSE 43,CSE 7,CSE 12
Cadie,CSE 37,CSE 12,CSE 4,CSE 5,CSE 10
Tony,CSE 24,CSE 18,CSE 31,CSE 2,CSE 24
Ned,CSE 9,CSE 37,CSE 7,CSE 27,CSE 29
Chelsea,CSE 10,CSE 44,CSE 47,CSE 27,CSE 38
Abigail,CSE 24,CSE 15,CSE 36,CSE 6,CSE 20
Arianna,CSE 49,CSE 21,CSE 2,CSE 9,CSE 13
Brooke,CSE 31,CSE 39,CSE 28,CSE 28,CSE 10
Maximilian,CSE 46,CSE 48,CSE 3,CSE 21,CSE 25
James,CSE 40,CSE 29,CSE 22,CSE 34,CSE 2
Andrew,CSE 47,CSE 25,CSE 41,CSE 39,CSE 45
Miller,CSE 41,CSE 15,CSE 8,CSE 42,CSE 21
Ted,CSE 24,CSE 7,CSE 41,CSE 14,CSE 42
Cherry,CSE 27,CSE 16,CSE 35,CSE 9,CSE 7
Ted,CSE 36,CSE 38,CSE 24,CSE 26,CSE 42
Gianna,CSE 45,CSE 6,CSE 16,CSE 45,CSE 12
Roman,CSE 34,CSE 21,CSE 49,CSE 16,CSE 28
Tess,CSE 4,CSE 47,CSE 9,CSE 34,CSE 27
Emily,CSE 50,CSE 44,CSE 14,CSE 46,CSE 15
Isabella,CSE 38,CSE 40,CSE 14,CSE 44,CSE 17
Antony,CSE 48,CSE 23,CSE 20,CSE 6,CSE 8
Olivia,CSE 27,CSE 41,CSE 22,CSE 22,CSE 42
Paul,CSE 49,CSE 39,CSE 47,CSE 42,CSE 41
Lucia,CSE 1,CSE 27,CSE 15,CSE 39,CSE 47
Michelle,CSE 44,CSE 1,CSE 22,CSE 45,CSE 48
Anna,CSE 10,CSE 20,CSE 36,CSE 23,CSE 3
Edith,CSE 44,CSE 26,CSE 38,CSE 24,CSE 35
Edgar,CSE 19,CSE 48,CSE 42,CSE 29,CSE 29
Florrie,CSE 2,CSE 42,CSE 22,CSE 5,CSE 21
Grace,CSE 1,CSE 20,CSE 14,CSE 48,CSE 28
John,CSE 43,CSE 27,CSE 6,CSE 28,CSE 14
Vivian,CSE 14,CSE 40,CSE 12,CSE 26,CSE 22
Ada,CSE 31,CSE 10,CSE 23,CSE 5,CSE 28
Heather,CSE 2,CSE 16,CSE 14,CSE 26,CSE 3
Mike,CSE 4,CSE 43,CSE 48,CSE 36,CSE 12
Catherine,CSE 38,CSE 40,CSE 22,CSE 11,CSE 7
Tyler,CSE 30,CSE 36,CSE 24,CSE 35,CSE 24
Rosie,CSE 34,CSE 42,CSE 12,CSE 50,CSE 19
Paul,CSE 46,CSE 40,CSE 14,CSE 22,CSE 50
Andrew,CSE 29,CSE 33,CSE 45,CSE 3,CSE 44
Elise,CSE 22,CSE 26,CSE 11,CSE 34,CSE 38
Honey,CSE 31,CSE 40,CSE 4,CSE 41,CSE 24
Arthur,CSE 11,CSE 26,CSE 16,CSE 42,CSE 11
Dale,CSE 41,CSE 35,CSE 21,CSE 22,CSE 2
Adelaide,CSE 17,CSE 2,CSE 22,CSE 38,CSE 46
Eddy,CSE 41,CSE 43,CSE 9,CSE 43,CSE 38
Ryan,CSE 45,CSE 21,CSE 35,CSE 20,CSE 32
Lucia,CSE 25,CSE 13,CSE 45,CSE 19,CSE 24
Kirsten,CSE 46,CSE 17,CSE 14,CSE 46,CSE 6
Darcy,CSE 19,CSE 9,CSE 24,CSE 46,CSE 21
Jordan,CSE 10,CSE 10,CSE 25,CSE 46,CSE 11
Dominik,CSE 27,CSE 39,CSE 8,CSE 24,CSE 26
Marcus,CSE 31,CSE 36,CSE 50,CSE 28,CSE 14
Alexander,CSE 50,CSE 25,CSE 17,CSE 44,CSE 48
Michelle,CSE 22,CSE 38,CSE 23,CSE 45,CSE 24
David,CSE 49,CSE 48,CSE 21,CSE 22,CSE 35
Maximilian,CSE 35,CSE 50,CSE 14,CSE 19,CSE 4
Sawyer,CSE 9,CSE 9,CSE 25,CSE 35,CSE 20
Luke,CSE 28,CSE 43,CSE 5,CSE 31,CSE 23
Penelope,CSE 42,CSE 26,CSE 22,CSE 10,CSE 49
Kellan,CSE 39,CSE 32,CSE 37,CSE 38,CSE 46
Chester,CSE 29,CSE 45,CSE 19,CSE 15,CSE 8
Belinda,CSE 6,CSE 5,CSE 19,CSE 45,CSE 30
Lyndon,CSE 11,CSE 42,CSE 31,CSE 23,CSE 46
Arnold,CSE 41,CSE 50,CSE 13,CSE 32,CSE 2
Haris,CSE 32,CSE 46,CSE 15,CSE 46,CSE 13
Thomas,CSE 26,CSE 49,CSE 11,CSE 17,CSE 13
Stuart,CSE 30,CSE 28,CSE 28,CSE 3,CSE 30
Melanie,CSE 38,CSE 42,CSE 30,CSE 39,CSE 34
Samantha,CSE 21,CSE 8,CSE 3,CSE 37,CSE 43
Alexia,CSE 9,CSE 16,CSE 14,CSE 7,CSE 42
James,CSE 18,CSE 47,CSE 20,CSE 47,CSE 18
Annabella,CSE 3,CSE 10,CSE 47,CSE 29,CSE 11
Edwin,CSE 9,CSE 18,CSE 15,CSE 17,CSE 32
Aida,CSE 49,CSE 38,CSE 1,CSE 18,CSE 4
Reid,CSE 43,CSE 12,CSE 22,CSE 31,CSE 5
Kate,CSE 8,CSE 9,CSE 13,CSE 50,CSE 34
Steven,CSE 13,CSE 16,CSE 43,CSE 8,CSE 45
Natalie,CSE 1,CSE 25,CSE 35,CSE 32,CSE 5
Garry,CSE 43,CSE 49,CSE 18,CSE 19,CSE 1
Harold,CSE 34,CSE 40,CSE 1,CSE 13,CSE 29
Tess,CSE 29,CSE 40,CSE 6,CSE 15,CSE 42
Lucas,CSE 6,CSE 29,CSE 46,CSE 35,CSE 42
Vincent,CSE 15,CSE 27,CSE 17,CSE 42,CSE 18
Caroline,CSE 6,CSE 49,CSE 50,CSE 9,CSE 17
Nicholas,CSE 21,CSE 15,CSE 12,CSE 28,CSE 33
Edith,CSE 40,CSE 29,CSE 20,CSE 42,CSE 33
Edith,CSE 18,CSE 15,CSE 39,CSE 31,CSE 41
Albert,CSE 50,CSE 17,CSE 24,CSE 49,CSE 39
Edwin,CSE 42,CSE 17,CSE 41,CSE 11,CSE 41
Alina,CSE 2,CSE 38,CSE 26,CSE 8,CSE 50
Sawyer,CSE 6,CSE 33,CSE 33,CSE 40,CSE 28
Ashton,CSE 39,CSE 31,CSE 42,CSE 19,CSE 19
Tess,CSE 3,CSE 40,CSE 45,CSE 29,CSE 4
Sophia,CSE 30,CSE 36,CSE 3,CSE 46,CSE 22
Daniel,CSE 18,CSE 8,CSE 29,CSE 48,CSE 42
Tess,CSE 20,CSE 42,CSE 31,CSE 48,CSE 27
Maddie,CSE 9,CSE 46,CSE 35,CSE 22,CSE 36
